         5       363       111       267

EOS                                                                            

  i            rad           emas         rho         pres          nb           kf(e)      kf(mu)       kf(p)       kf(n)      kf(la)      kf(S-)      kf(S0)      kf(S+)         Tc(n)       Tc(p)      Tc(la)    Durca  nSF   Acel   Aion   Zion
   71   9.869631E+03   1.054951E+00   3.699E+14   1.112E+34   2.162E-01      6.819E-01   4.222E-01   7.320E-01   1.818E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.987E+08   1.335E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   72   9.915751E+03   1.065482E+00   3.661E+14   1.071E+34   2.141E-01      6.787E-01   4.171E-01   7.276E-01   1.812E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.994E+08   1.397E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   73   9.961447E+03   1.075916E+00   3.623E+14   1.030E+34   2.119E-01      6.756E-01   4.120E-01   7.232E-01   1.807E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.998E+08   1.457E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   74   1.000673E+04   1.086256E+00   3.586E+14   9.896E+33   2.098E-01      6.725E-01   4.068E-01   7.188E-01   1.801E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      1.000E+09   1.515E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   75   1.005160E+04   1.096253E+00   3.542E+14   9.542E+33   2.073E-01      6.688E-01   4.008E-01   7.137E-01   1.794E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.999E+08   1.582E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   76   1.009608E+04   1.106155E+00   3.499E+14   9.192E+33   2.048E-01      6.652E-01   3.947E-01   7.086E-01   1.787E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.994E+08   1.647E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   77   1.014017E+04   1.115970E+00   3.456E+14   8.846E+33   2.024E-01      6.616E-01   3.886E-01   7.036E-01   1.780E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.985E+08   1.710E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   78   1.018387E+04   1.125701E+00   3.413E+14   8.502E+33   2.000E-01      6.580E-01   3.824E-01   6.985E-01   1.774E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.972E+08   1.773E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   79   1.022721E+04   1.135349E+00   3.371E+14   8.162E+33   1.975E-01      6.544E-01   3.762E-01   6.935E-01   1.767E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.956E+08   1.834E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   80   1.027018E+04   1.144916E+00   3.329E+14   7.824E+33   1.951E-01      6.508E-01   3.699E-01   6.884E-01   1.760E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.936E+08   1.894E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   81   1.031280E+04   1.154403E+00   3.287E+14   7.489E+33   1.928E-01      6.472E-01   3.636E-01   6.834E-01   1.753E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.913E+08   1.953E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   82   1.035506E+04   1.163813E+00   3.246E+14   7.157E+33   1.904E-01      6.437E-01   3.572E-01   6.784E-01   1.746E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.885E+08   2.012E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   83   1.039699E+04   1.173147E+00   3.205E+14   6.827E+33   1.881E-01      6.401E-01   3.508E-01   6.735E-01   1.739E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.854E+08   2.070E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
   84   1.043858E+04   1.182406E+00   3.164E+14   6.500E+33   1.857E-01      6.366E-01   3.443E-01   6.685E-01   1.733E+00   0.000E+00   0.000E+00   0.000E+00   0.000E+00      9.820E+08   2.127E+09   1.000E+00   00000  3p2   N/A    N/A    N/A 
